,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
2021-04-19/2021-04-25,2055.36,2643.3,2309.4,2311.2314285714283,2229.05,12306079.0,3388999.0,9895761.0,44949.0,651150.0,1321488.0,6347.0,705120.0,1488767.0,6521.0,679691.4285714285,1413680.142857143,6421.285714285715,684137.0,1444157.0,6431.0
2021-04-26/2021-05-02,2180.0,2976.97,2709.0,2635.3685714285716,2209.0,12351434.0,3326143.0,9670248.0,44835.0,625688.0,1351568.0,6377.0,675964.0,1440126.0,6430.0,651828.5714285715,1381464.0,6405.0,651271.0,1366772.0,6407.0
2021-05-03/2021-05-09,2936.4,3980.33,3464.45,3421.5342857142855,2969.0,12396780.0,3559078.0,10368945.0,44947.0,674760.0,1402949.0,6397.0,799562.0,1626278.0,6444.0,713909.8571428572,1481277.857142857,6421.0,694372.0,1432721.0,6433.0
2021-05-10/2021-05-16,3345.04,4372.35,3911.64,3932.475714285714,3911.64,12442150.0,3493513.0,10394490.0,44910.0,665471.0,1360867.0,6373.0,784465.0,1598969.0,6474.0,733047.0,1484927.142857143,6415.714285714285,732819.0,1493913.0,6409.0
2021-05-17/2021-05-23,1737.28,3589.0,2767.6,2880.594285714286,3373.74,12487248.0,2995149.0,9101094.0,44631.0,520591.0,1176212.0,6350.0,659939.0,1369701.0,6408.0,606014.7142857143,1300156.2857142857,6375.857142857143,618972.0,1347550.0,6384.0
2021-05-24/2021-05-30,2050.61,2910.0,2559.85,2493.657142857143,2068.01,12532379.0,2905411.0,8598538.0,44611.0,542988.0,1211261.0,6335.0,594644.0,1241553.0,6414.0,570505.4285714285,1228362.5714285714,6373.0,574429.0,1231283.0,6376.0
2021-05-31/2021-06-06,2278.03,2887.0,2630.54,2641.2628571428572,2433.04,12577560.0,2892238.0,8328521.0,44837.0,533711.0,1080415.0,6334.0,598051.0,1250699.0,6486.0,566958.2857142857,1189788.7142857143,6405.285714285715,571630.0,1213305.0,6417.0
2021-06-07/2021-06-13,2267.1,2846.38,2538.25,2531.048571428571,2709.96,12622785.0,2512183.0,7800270.0,44755.0,476648.0,1064622.0,6367.0,528785.0,1153860.0,6416.0,498113.5714285714,1114324.2857142857,6393.571428571428,496245.0,1123629.0,6394.0
2021-06-14/2021-06-20,2047.02,2639.23,2400.17,2400.0257142857145,2577.09,12667896.0,2371102.0,7596043.0,44704.0,429726.0,984519.0,6335.0,508475.0,1151348.0,6449.0,476543.0,1085149.0,6386.285714285715,487298.0,1112572.0,6383.0
2021-06-21/2021-06-27,1701.1,2275.73,1932.09,1959.5600000000002,2259.33,12712734.0,2547207.0,7839851.0,44355.0,480439.0,1045735.0,6256.0,525744.0,1201965.0,6377.0,504642.28571428574,1119978.7142857143,6336.428571428572,510623.0,1126194.0,6353.0
2021-06-28/2021-07-04,1814.74,2371.52,2135.53,2116.217142857143,1816.49,12757713.0,2682522.0,7994021.0,44531.0,464696.0,1044666.0,6274.0,684708.0,1328690.0,6404.0,532495.4285714285,1142003.0,6361.571428571428,520064.0,1136717.0,6369.0
2021-07-05/2021-07-11,2049.52,2407.35,2217.61,2231.9857142857145,2350.42,12802708.0,2300190.0,7995806.0,44394.0,448763.0,1049708.0,6310.0,502189.0,1247451.0,6363.0,480710.28571428574,1142258.0,6342.0,489188.0,1141495.0,6346.0
2021-07-12/2021-07-18,1852.15,2171.69,1948.01,1973.74,2130.55,12847328.0,2213981.0,7925879.0,44022.0,446161.0,1102665.0,6235.0,496289.0,1197856.0,6343.0,471622.0,1132268.4285714286,6288.857142857143,470676.0,1118499.0,6293.0
2021-07-19/2021-07-25,1718.25,2199.0,1948.07,1951.8857142857141,1892.97,12892112.0,2398165.0,7940738.0,44293.0,474977.0,1081932.0,6248.0,527492.0,1170097.0,6392.0,496214.28571428574,1134391.142857143,6327.571428571428,494827.0,1135548.0,6338.0
2021-07-26/2021-08-01,2153.94,2698.14,2298.19,2311.7385714285715,2157.37,12936340.0,2700811.0,8358641.0,43632.0,512359.0,1132909.0,6181.0,625795.0,1257224.0,6277.0,551775.2857142857,1194091.5714285714,6233.142857142857,532692.0,1193232.0,6231.0
2021-08-02/2021-08-08,2447.65,3189.0,2708.59,2752.6185714285716,2671.0,12981067.0,2375186.0,8009522.0,44310.0,463811.0,1091340.0,6240.0,556002.0,1188119.0,6458.0,500343.14285714284,1144217.4285714286,6330.0,495243.0,1150419.0,6324.0
2021-08-09/2021-08-15,2900.42,3331.0,3156.56,3148.25,2993.95,13026460.0,2205982.0,7888287.0,44686.0,456064.0,1071935.0,6325.0,489030.0,1160425.0,6440.0,476802.5714285714,1126898.142857143,6383.714285714285,481956.0,1130317.0,6391.0
2021-08-16/2021-08-22,2954.23,3334.17,3166.44,3165.5157142857142,3268.23,13071750.0,2335980.0,8171790.0,44685.0,470608.0,1125576.0,6302.0,529100.0,1198278.0,6480.0,500436.14285714284,1167398.5714285714,6383.571428571428,497217.0,1186903.0,6400.0
2021-08-23/2021-08-29,3058.83,3378.21,3217.06,3220.6257142857144,3156.12,13117023.0,2074303.0,7832435.0,44553.0,440279.0,1057286.0,6292.0,494855.0,1181889.0,6408.0,460602.28571428574,1118919.2857142857,6364.714285714285,454642.0,1117422.0,6368.0
2021-08-30/2021-09-05,3146.06,4027.56,3729.99,3615.16,3236.0,13162318.0,2219761.0,7894487.0,44653.0,457114.0,1068858.0,6339.0,521014.0,1175915.0,6438.0,484662.85714285716,1127783.857142857,6379.0,477954.0,1134889.0,6378.0
2021-09-06/2021-09-12,2963.48,3980.59,3425.57,3540.968571428572,3971.68,13207539.0,2396595.0,8091822.0,44524.0,479500.0,1102512.0,6302.0,585914.0,1212479.0,6438.0,514708.5714285714,1155974.5714285714,6360.571428571428,519382.0,1155907.0,6362.0
2021-09-13/2021-09-19,3116.0,3674.37,3376.41,3401.6857142857143,3316.54,13252814.0,2433657.0,7952386.0,44408.0,464413.0,1073407.0,6279.0,586317.0,1196378.0,6395.0,512357.28571428574,1136055.142857143,6344.0,502357.0,1146701.0,6352.0
2021-09-20/2021-09-26,2668.0,3364.47,3026.74,3028.2442857142855,3358.98,13298126.0,2150276.0,7707161.0,44316.0,428472.0,1040464.0,6269.0,492738.0,1136914.0,6447.0,467117.85714285716,1101023.0,6330.857142857143,468148.0,1106740.0,6309.0
2021-09-27/2021-10-03,2783.03,3485.29,2974.94,3063.604285714285,3091.84,13342963.0,2116537.0,7584943.0,43961.0,445615.0,1056236.0,6193.0,527121.0,1153372.0,6393.0,468004.0,1083563.2857142857,6280.142857142857,457363.0,1074728.0,6268.0
2021-10-04/2021-10-10,3278.34,3670.7,3552.8,3522.5442857142857,3427.46,13387620.0,2422764.0,8231415.0,43987.0,441716.0,1060140.0,6224.0,613753.0,1274853.0,6341.0,532200.4285714285,1175916.4285714286,6283.857142857143,533951.0,1171064.0,6280.0
2021-10-11/2021-10-17,3379.63,3968.86,3577.86,3647.1128571428567,3515.01,13432144.0,2328836.0,8018524.0,43704.0,486533.0,1095337.0,6192.0,536198.0,1219975.0,6320.0,508827.5714285714,1145503.4285714286,6243.428571428572,502156.0,1133820.0,6244.0
2021-10-18/2021-10-24,3684.74,4366.5,3976.87,3930.1585714285716,3702.37,13476885.0,2647863.0,8320964.0,43999.0,522949.0,1137690.0,6203.0,573285.0,1214015.0,6371.0,556647.0,1188709.142857143,6285.571428571428,557046.0,1197608.0,6264.0
2021-10-25/2021-10-31,3900.46,4457.01,4251.75,4208.47,4065.99,13521542.0,2915542.0,9059481.0,43965.0,558909.0,1220935.0,6210.0,676200.0,1409844.0,6337.0,608190.0,1294211.5714285714,6280.714285714285,582499.0,1272488.0,6277.0
2021-11-01/2021-11-07,4160.0,4665.02,4487.09,4451.85,4269.51,13566042.0,2996836.0,8778164.0,43915.0,579669.0,1187349.0,6200.0,657703.0,1313862.0,6338.0,616034.1428571428,1254023.4285714286,6273.571428571428,610933.0,1255963.0,6272.0
2021-11-08/2021-11-14,4507.16,4865.81,4655.93,4685.707142857143,4629.0,13610714.0,2971986.0,8848123.0,43763.0,586850.0,1221298.0,6209.0,635214.0,1313302.0,6315.0,611436.0,1264017.5714285714,6251.857142857143,612421.0,1263900.0,6249.0
2021-11-15/2021-11-21,3958.99,4768.63,4284.06,4342.93,4576.79,13654921.0,2769451.0,8422010.0,43273.0,507843.0,1104792.0,6116.0,647923.0,1280531.0,6258.0,567854.5714285715,1203144.2857142857,6181.857142857143,567912.0,1208906.0,6151.0
2021-11-22/2021-11-28,3924.3,4552.35,4257.58,4244.62,4366.0,13699125.0,2550871.0,8303846.0,43276.0,488719.0,1087811.0,6096.0,561831.0,1265428.0,6241.0,531438.8571428572,1186263.7142857143,6182.285714285715,538736.0,1193402.0,6192.0
2021-11-29/2021-12-05,3521.01,4778.67,4453.01,4390.145714285714,4260.4,13742801.0,2872978.0,8345683.0,42819.0,508974.0,1143943.0,6076.0,773431.0,1326539.0,6155.0,576759.1428571428,1192240.4285714286,6117.0,554979.0,1180810.0,6130.0
2021-12-06/2021-12-12,3838.01,4486.63,4165.55,4199.012857142857,4150.43,13786990.0,2736317.0,8177802.0,43632.0,532371.0,1135923.0,6112.0,596411.0,1228045.0,6370.0,555096.7142857143,1168257.4285714286,6233.142857142857,550213.0,1161494.0,6171.0
2021-12-13/2021-12-19,3655.42,4170.3,3977.24,3960.9257142857136,4124.25,13832241.0,2599655.0,8061652.0,44207.0,513785.0,1094329.0,6245.0,570914.0,1217085.0,6359.0,546865.4285714285,1151664.5714285714,6315.285714285715,558234.0,1144470.0,6347.0
2021-12-20/2021-12-26,3757.6,4150.48,4026.35,4026.718571428571,3919.7,13877450.0,2642999.0,8301332.0,44226.0,538563.0,1141813.0,6276.0,585060.0,1260547.0,6416.0,557538.2857142857,1185904.5714285714,6318.0,546602.0,1175151.0,6309.0
2021-12-27/2022-01-02,3590.0,4128.28,3749.74,3836.871428571428,4086.36,13922672.0,2471677.0,8185872.0,44272.0,487885.0,1104984.0,6245.0,563459.0,1199209.0,6369.0,528352.8571428572,1169410.2857142857,6324.571428571428,522685.0,1189838.0,6345.0
2022-01-03/2022-01-09,2999.08,3889.1,3556.59,3519.8742857142856,3813.67,13967922.0,2397292.0,7982604.0,44328.0,463099.0,1066368.0,6273.0,552860.0,1182876.0,6394.0,524683.8571428572,1140372.0,6332.571428571428,525939.0,1150238.0,6320.0
2022-01-10/2022-01-16,2933.19,3412.64,3271.94,3258.045714285715,3188.77,14013196.0,2382902.0,8296339.0,44360.0,469947.0,1123620.0,6301.0,586500.0,1234189.0,6379.0,536040.1428571428,1185191.2857142857,6337.142857142857,531944.0,1184978.0,6335.0
2022-01-17/2022-01-23,2310.52,3362.66,3114.85,2988.2557142857145,3331.0,14058541.0,2335403.0,7906606.0,44408.0,477988.0,1038219.0,6271.0,539138.0,1167790.0,6442.0,514265.28571428574,1129515.142857143,6344.0,513608.0,1143319.0,6333.0
2022-01-24/2022-01-30,2160.93,2724.47,2422.9,2459.161428571428,2422.9,14103760.0,2190430.0,7691447.0,44325.0,467390.0,1078313.0,6294.0,512189.0,1135222.0,6384.0,490340.5714285714,1098778.142857143,6332.142857142857,491079.0,1091039.0,6325.0
2022-01-31/2022-02-06,2480.28,3062.2,2680.8,2762.2985714285714,2560.21,14149082.0,2393879.0,7883634.0,44282.0,487261.0,1066490.0,6232.0,597351.0,1187054.0,6411.0,532030.2857142857,1126233.4285714286,6326.0,528102.0,1128367.0,6320.0
2022-02-07/2022-02-13,2838.89,3281.6,3115.8,3061.225714285714,2996.0,14194418.0,2503189.0,7817208.0,44178.0,518417.0,1072183.0,6289.0,553600.0,1151688.0,6360.0,537066.2857142857,1116744.0,6311.142857142857,536484.0,1128905.0,6309.0
2022-02-14/2022-02-20,2576.48,3195.98,2895.51,2921.3528571428574,2875.44,14239570.0,2302201.0,8087830.0,44050.0,467493.0,1088956.0,6246.0,539049.0,1295540.0,6360.0,507559.28571428574,1155404.2857142857,6292.857142857143,507416.0,1135597.0,6285.0
2022-02-21/2022-02-27,2302.0,2854.23,2618.26,2652.7000000000003,2599.12,14284847.0,2336086.0,7709573.0,43984.0,468960.0,1081682.0,6242.0,554879.0,1131177.0,6330.0,508772.71428571426,1101367.5714285714,6283.428571428572,513489.0,1093501.0,6287.0
2022-02-28/2022-03-06,2575.73,3038.49,2804.66,2774.6071428571427,2600.92,14329981.0,2512583.0,7695097.0,43848.0,500978.0,1041135.0,6188.0,549555.0,1139386.0,6324.0,526768.2857142857,1099299.5714285714,6264.0,530626.0,1119770.0,6265.0
2022-03-07/2022-03-13,2447.99,2773.08,2586.98,2592.534285714286,2630.59,14375068.0,2797760.0,7753099.0,43730.0,495326.0,1006037.0,6156.0,634167.0,1181368.0,6309.0,556422.5714285715,1107585.5714285714,6247.142857142857,540224.0,1129728.0,6266.0
2022-03-14/2022-03-20,2494.42,2985.99,2772.09,2739.191428571429,2547.0,14419942.0,2780079.0,7905677.0,43706.0,505260.0,1050638.0,6210.0,638995.0,1221411.0,6272.0,563435.2857142857,1129382.4285714286,6243.714285714285,542965.0,1128815.0,6250.0
2022-03-21/2022-03-27,2835.0,3247.64,3001.61,3020.867142857143,2874.36,14464916.0,2676965.0,7767338.0,43707.0,531897.0,1082770.0,6226.0,603679.0,1169752.0,6264.0,551550.1428571428,1109619.7142857143,6243.857142857143,540353.0,1103032.0,6246.0
2022-03-28/2022-04-03,3215.01,3529.39,3414.52,3382.96,3238.39,14509822.0,2395440.0,7741119.0,43836.0,465576.0,1027032.0,6206.0,554440.0,1166439.0,6324.0,515574.28571428574,1105874.142857143,6262.285714285715,522741.0,1113751.0,6270.0
2022-04-04/2022-04-10,3143.01,3580.0,3248.99,3341.8342857142857,3495.01,14554614.0,2185657.0,7397820.0,43620.0,462698.0,1035587.0,6161.0,502140.0,1078714.0,6269.0,483361.28571428574,1056831.4285714286,6231.428571428572,481724.0,1055069.0,6247.0
2022-04-11/2022-04-17,2952.45,3292.8,3030.16,3064.5357142857147,3290.2,14599453.0,2210564.0,7256396.0,43665.0,452187.0,1003742.0,6171.0,493873.0,1067535.0,6282.0,477142.5714285714,1036628.0,6237.857142857143,482540.0,1040574.0,6253.0
2022-04-18/2022-04-24,2886.94,3178.24,3005.41,3023.8928571428573,3045.85,14644142.0,2416654.0,7648774.0,43409.0,476629.0,1015366.0,6126.0,597565.0,1187094.0,6267.0,520333.71428571426,1092682.0,6201.285714285715,490890.0,1078072.0,6206.0
2022-04-25/2022-05-01,2719.07,3033.32,2865.24,2882.5400000000004,2941.56,14688630.0,2230368.0,7788576.0,43169.0,464847.0,1075406.0,6126.0,513139.0,1161698.0,6203.0,499774.28571428574,1112653.7142857143,6167.0,503041.0,1111540.0,6157.0
2022-05-02/2022-05-08,2487.11,2967.03,2784.72,2786.3414285714284,2816.67,14732822.0,2221864.0,7434272.0,42796.0,447653.0,1012806.0,6060.0,536336.0,1138762.0,6204.0,485505.85714285716,1062038.857142857,6113.714285714285,488420.0,1062274.0,6090.0
2022-05-09/2022-05-15,1707.51,2555.34,2042.76,2164.4814285714288,2539.54,14776688.0,2625803.0,8025680.0,42742.0,479419.0,1042631.0,6037.0,641699.0,1260983.0,6222.0,540469.5714285715,1146525.7142857143,6106.0,514006.0,1129903.0,6067.0
2022-05-16/2022-05-22,1901.4,2155.0,2012.95,2017.1828571428573,2130.42,14820222.0,2427289.0,7443606.0,42012.0,459237.0,1013908.0,5937.0,548934.0,1125625.0,6091.0,494034.0,1063372.2857142857,6001.714285714285,485091.0,1055095.0,5965.0
2022-05-23/2022-05-29,1709.19,2085.71,1959.19,1898.987142857143,2005.97,14863278.0,2178365.0,7247653.0,41771.0,421751.0,1020350.0,5886.0,481958.0,1049808.0,6043.0,458431.4285714286,1035379.0,5967.285714285715,464546.0,1034511.0,5972.0
2022-05-30/2022-06-05,1737.36,2009.89,1793.68,1835.4314285714283,1793.68,14905988.0,1851222.0,7203304.0,41226.0,392098.0,974270.0,5724.0,487038.0,1097560.0,5991.0,424053.5714285714,1029043.4285714285,5889.428571428572,415165.0,1031948.0,5928.0
2022-06-06/2022-06-12,1428.3,1917.16,1796.12,1757.6142857142856,1809.65,14947132.0,1879648.0,7007903.0,39920.0,394794.0,978164.0,5631.0,452940.0,1027962.0,5789.0,427272.5714285714,1001129.0,5702.857142857143,424890.0,1007007.0,5694.0
2022-06-13/2022-06-19,884.57,1484.24,1179.82,1167.7314285714288,1473.58,14987809.0,2147091.0,7257213.0,39552.0,436072.0,980879.0,5556.0,486149.0,1065632.0,5713.0,457804.71428571426,1036744.7142857143,5650.285714285715,452604.0,1048602.0,5658.0
2022-06-20/2022-06-26,1044.26,1276.04,1134.46,1141.4142857142856,1138.83,15026233.0,1921578.0,6632597.0,37038.0,365761.0,889624.0,5158.0,445281.0,1006205.0,5712.0,415397.0,947513.8571428572,5291.142857142857,425470.0,950029.0,5211.0
2022-06-27/2022-07-03,1000.52,1248.11,1107.93,1122.7942857142857,1246.59,15066169.0,2076155.0,7257902.0,39869.0,407127.0,939550.0,5152.0,514345.0,1145741.0,6315.0,446722.4285714286,1036843.1428571428,5695.571428571428,424813.0,1014201.0,5475.0
2022-07-04/2022-07-10,1044.48,1270.2,1160.63,1173.9571428571428,1083.85,15111487.0,2209805.0,7907483.0,43712.0,463359.0,1107366.0,6186.0,493354.0,1152410.0,6332.0,479813.0,1129640.4285714286,6244.571428571428,480834.0,1129794.0,6248.0
2022-07-11/2022-07-17,1007.31,1417.25,1176.87,1176.0442857142857,1176.87,15156813.0,2441489.0,8075058.0,43713.0,450114.0,1099099.0,6204.0,584339.0,1207152.0,6316.0,513814.4285714286,1153579.7142857143,6244.714285714285,512401.0,1150271.0,6221.0
2022-07-18/2022-07-24,1335.55,1645.89,1525.37,1505.447142857143,1343.04,15202012.0,2377160.0,7958094.0,43692.0,490523.0,1087132.0,6173.0,539158.0,1171443.0,6266.0,506316.0,1136870.5714285714,6241.714285714285,501450.0,1148590.0,6257.0
2022-07-25/2022-07-31,1357.66,1782.16,1609.32,1615.0399999999997,1609.32,15246903.0,3144702.0,8543200.0,43255.0,506014.0,1116249.0,6142.0,1066832.0,1636949.0,6224.0,615379.7142857143,1220457.142857143,6179.285714285715,532018.0,1145066.0,6168.0
2022-08-01/2022-08-07,1564.39,1748.59,1651.18,1660.8285714285716,1721.28,15291833.0,3163328.0,8468321.0,43208.0,537482.0,1112705.0,6111.0,845981.0,1412697.0,6246.0,611576.0,1209760.142857143,6172.571428571428,553307.0,1162644.0,6192.0
2022-08-08/2022-08-14,1659.46,2029.9,1842.85,1841.2885714285712,1722.52,15336463.0,2291569.0,7625789.0,42763.0,468799.0,1063112.0,6061.0,508910.0,1125673.0,6154.0,491071.5714285714,1089398.4285714286,6109.0,495120.0,1084575.0,6104.0
2022-08-15/2022-08-21,1529.08,2011.65,1876.87,1811.01,1942.56,15380672.0,2289649.0,7428108.0,42475.0,461667.0,1044707.0,6016.0,503957.0,1081576.0,6106.0,482373.5714285714,1061158.2857142857,6067.857142857143,485752.0,1063989.0,6096.0
2022-08-22/2022-08-28,1448.76,1721.65,1618.5,1610.9471428571428,1618.5,15424591.0,2146805.0,7123030.0,42068.0,445351.0,983019.0,5964.0,478642.0,1041916.0,6093.0,457191.28571428574,1017575.7142857143,6009.714285714285,453741.0,1018257.0,6000.0
2022-08-29/2022-09-04,1423.86,1648.92,1558.9,1552.3714285714286,1483.47,15468373.0,2235243.0,7227527.0,42134.0,434658.0,1002194.0,5951.0,556492.0,1080098.0,6086.0,472749.14285714284,1032503.8571428572,6019.142857142857,459758.0,1039239.0,6021.0
2022-09-05/2022-09-11,1492.32,1788.48,1638.79,1641.3199999999997,1571.36,15511691.0,2210658.0,7186070.0,41410.0,447259.0,967751.0,5804.0,496718.0,1055816.0,6053.0,472056.4285714286,1026581.4285714285,5915.714285714285,474453.0,1040629.0,5911.0
2022-09-12/2022-09-18,1367.8,1780.59,1603.38,1585.4228571428573,1759.33,15556726.0,2750479.0,8086247.0,45165.0,453398.0,1032901.0,5695.0,658575.0,1287307.0,7086.0,550877.5714285715,1155178.142857143,6452.142857142857,536323.0,1122859.0,6600.0
2022-09-19/2022-09-25,1222.52,1410.0,1342.22,1336.1499999999999,1370.86,15606660.0,2261449.0,7626321.0,49786.0,446121.0,1070902.0,7032.0,488150.0,1110338.0,7148.0,457248.28571428574,1089474.4285714286,7112.285714285715,451069.0,1089070.0,7131.0
2022-09-26/2022-10-02,1259.34,1399.29,1325.06,1324.652857142857,1292.44,15656732.0,2283095.0,7911990.0,49828.0,440624.0,1072560.0,7093.0,522954.0,1191950.0,7139.0,463180.4285714286,1130284.2857142857,7118.285714285715,452516.0,1125113.0,7119.0
2022-10-03/2022-10-09,1264.34,1383.43,1332.01,1336.5614285714287,1303.74,15706816.0,2452121.0,8035394.0,49884.0,421090.0,1053253.0,7096.0,548089.0,1239462.0,7161.0,492122.28571428574,1147913.4285714286,7126.285714285715,504602.0,1145223.0,7123.0
2022-10-10/2022-10-16,1194.37,1342.09,1298.92,1298.06,1320.9,15756957.0,2216089.0,7350884.0,49916.0,414271.0,953903.0,7103.0,543965.0,1104792.0,7160.0,488061.85714285716,1050126.2857142857,7130.857142857143,491732.0,1046118.0,7125.0
2022-10-17/2022-10-23,1255.0,1340.54,1311.01,1307.1785714285713,1311.01,15807086.0,1884023.0,7227273.0,50056.0,391265.0,934126.0,7123.0,454799.0,1119170.0,7164.0,417277.85714285716,1032467.5714285715,7150.857142857143,409020.0,1039474.0,7156.0
2022-10-24/2022-10-30,1324.75,1661.78,1527.86,1489.35,1330.22,15857151.0,1947622.0,7223023.0,50025.0,401534.0,1008001.0,7112.0,461927.0,1080936.0,7161.0,422963.5714285714,1031860.4285714285,7146.428571428572,411791.0,1017019.0,7149.0
2022-10-31/2022-11-06,1502.38,1674.39,1575.51,1581.0928571428574,1595.49,15907253.0,1912920.0,6951126.0,50082.0,376850.0,926516.0,7136.0,437833.0,1056062.0,7165.0,409311.71428571426,993018.0,7154.571428571428,399950.0,985521.0,7156.0
2022-11-07/2022-11-13,1074.18,1608.2,1320.71,1351.0971428571427,1604.05,15957380.0,2116725.0,7588817.0,50095.0,417380.0,1001087.0,7136.0,465905.0,1162745.0,7167.0,433422.85714285716,1084116.7142857143,7156.428571428572,429617.0,1077266.0,7161.0
2022-11-14/2022-11-20,1136.94,1290.49,1210.0,1216.5957142857144,1215.0,16007503.0,2173183.0,7114960.0,50084.0,365998.0,883067.0,7145.0,479428.0,1143449.0,7163.0,436061.5714285714,1016422.8571428572,7154.857142857143,449888.0,1046210.0,7156.0
2022-11-21/2022-11-27,1076.05,1229.93,1168.79,1162.4,1140.83,16057597.0,2060459.0,6507879.0,50055.0,377625.0,859123.0,7131.0,457042.0,971550.0,7161.0,413095.28571428574,929697.0,7150.714285714285,412367.0,931998.0,7154.0
2022-11-28/2022-12-04,1150.38,1305.67,1260.89,1247.527142857143,1215.05,16107727.0,2187165.0,6902866.0,50094.0,385862.0,937575.0,7146.0,496358.0,1058329.0,7171.0,439549.85714285716,986123.7142857143,7156.285714285715,446441.0,993440.0,7157.0
2022-12-05/2022-12-11,1220.78,1304.49,1259.85,1261.6657142857143,1277.23,16157748.0,3180613.0,7843191.0,49992.0,378185.0,900634.0,7069.0,1420124.0,1910139.0,7167.0,588914.2857142857,1120455.857142857,7141.714285714285,418841.0,1016752.0,7153.0
2022-12-12/2022-12-18,1156.61,1348.31,1264.6,1258.31,1263.88,16207857.0,2172774.0,7273144.0,50073.0,340500.0,877371.0,7145.0,559222.0,1141784.0,7160.0,446354.4285714286,1039020.5714285715,7153.285714285715,444153.0,1034299.0,7155.0
2022-12-19/2022-12-25,1152.91,1232.01,1215.0,1205.98,1182.88,16258038.0,1820716.0,6642967.0,50154.0,358707.0,821753.0,7157.0,429426.0,1023199.0,7177.0,390964.14285714284,948995.2857142857,7164.857142857143,391484.0,966017.0,7161.0
2022-12-26/2023-01-01,1183.27,1232.38,1199.52,1203.4742857142858,1218.33,16308190.0,1640693.0,6286008.0,50120.0,281711.0,724149.0,7153.0,399305.0,997710.0,7169.0,359503.0,898001.1428571428,7160.0,375734.0,922008.0,7159.0
